corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-rom	ROM022	ROM022	MACRI, P.	HAIDUCUL TANDURA. SCRIERE ORIGINAL, CU ADAUSE SI MODIFICARI	1863	NA	M	NA	1894	1894	NA	1930	NA	NA	ro	29807	NA	NA	short	low	T3
ELTeC-rom	ROM010	ROM010	Vlahuță, Alexandru	Dan	1858	NA	M	NA	1894	1894	NA	1964	NA	NA	ro	63856	NA	NA	medium	high	T3
ELTeC-rom	ROM001	ROM001	Anonymous	Roșcan Haiducul. Nuvelă ilustrată cu două gravuri	NA	NA	U	NA	1894	1894	NA	NA	NA	NA	ro	10128	NA	NA	short	low	T3
ELTeC-rom	ROM002	ROM002	Bălănescu, Simion	Blestemul. Sfârșitul blestemului	NA	NA	M	NA	1894	1894	NA	NA	NA	NA	ro	30210	NA	NA	short	low	T3
ELTeC-rom	ROM027	ROM027	Baronzi, G.	Fontana zânelor	1828	NA	M	NA	1896	NA	NA	1896	NA	NA	ro	40841	NA	NA	short	low	T3
ELTeC-rom	ROM028	ROM028	Nottara, Constantin I.A.	Suflete obosite	1872	NA	M	NA	1898	1898	NA	1911	NA	NA	ro	56161	NA	NA	medium	low	T3
ELTeC-rom	ROM063	ROM063	Antemireanu, Alexandru	DIN VREMEA LUI CĂPITAN COSTACHE	1877	1910	M	NA	1898	1898	NA	1937	NA	NA	ro	79903	NA	NA	medium	low	T3
ELTeC-rom	ROM026	ROM026	Macri, P. Panait	Bostan. Haiduc de peste Milcov	1863	NA	M	NA	1899	1899	NA	NA	NA	NA	ro	35076	NA	NA	short	low	T3
ELTeC-rom	ROM088	ROM088	Iorgulescu, Aurel	Prostituata (Roman)	1880	NA	M	NA	1899	NA	NA	1899	NA	NA	ro	26969	NA	NA	short	low	T3
ELTeC-rom	ROM084	ROM084	Anestin, Victor	În anul 4000 sau o călătorie la Venus	1875	NA	M	NA	1899	1899	NA	1986	NA	NA	ro	21717	NA	NA	short	low	T3
ELTeC-rom	ROM072	ROM072	Slavici, Ioan	Din Bĕtrânĭ. Narațiune istorică	1848	NA	M	NA	1902	1902	NA	NA	NA	NA	ro	79106	NA	NA	medium	high	T4
ELTeC-rom	ROM053	ROM053	Zamfirescu, Duiliu	În Războiu. Roman	1858	NA	M	NA	1902	1902	NA	1907	NA	NA	ro	51974	NA	NA	medium	low	T4
ELTeC-rom	ROM036	ROM036	Ianculescu de Reus, Eugenia	Voinţă. Roman	1866	1938	F	NA	1902	1902	NA	NA	NA	NA	ro	44498	NA	NA	short	low	T4
ELTeC-rom	ROM038	ROM038	Dragomirescu, Iuliu	Cele şapte candeli. Pe Catafalc. Roman creştin	1880	NA	M	NA	1902	1902	NA	NA	NA	NA	ro	50022	NA	NA	medium	low	T4
ELTeC-rom	ROM030	ROM030	Ianculescu de Reus, Eugenia	Spre desrobire. Roman	1866	NA	F	NA	1903	1903	NA	NA	NA	NA	ro	42357	NA	NA	short	low	T4
ELTeC-rom	ROM060	ROM060	Nadejde, Sofia	Patimi. Roman din viața românească	1856	NA	F	NA	1903	1903	NA	NA	NA	NA	ro	127125	NA	NA	long	low	T4
ELTeC-rom	ROM047	ROM047	Prasin, Spiru	CALEA ROBILOR	1864	1904	M	NA	1903	1903	NA	NA	NA	NA	ro	105552	NA	NA	long	low	T4
ELTeC-rom	ROM094	ROM094	Moldovan, Vasile E.	Dușmănie. Roman	1881	NA	M	NA	1903	1903	NA	NA	NA	NA	ro	26969	NA	NA	short	low	T4
ELTeC-rom	ROM056	ROM056	Rosetti, Radu	Cu paloșul. Poveste vitejască din vremea descălecatului Moldovei	1853	NA	M	NA	1904	1904	NA	1909	NA	NA	ro	202851	NA	NA	long	low	T4
ELTeC-rom	ROM054	ROM054	Becescu-Silvan, Gh.	VALEA ALBĂ. Roman eroic. 1476	1875	NA	M	NA	1904	1904	NA	1909	NA	NA	ro	78337	NA	NA	medium	low	T4
ELTeC-rom	ROM079	ROM079	Vulcan, Petru	Armânda	1866	NA	M	NA	1904	1904	NA	1904	NA	NA	ro	58162	NA	NA	medium	low	T4
ELTeC-rom	ROM071	ROM071	Slavici, Ioan	Mara. Roman	1848	NA	M	NA	1906	1906	NA	NA	NA	NA	ro	100098	NA	NA	long	high	T4
ELTeC-rom	ROM055	ROM055	Becescu-Silvan, Gh.	Pentru Neatîrnare 1877-78. Roman răsboinic	1875	NA	M	NA	1906	1906	NA	1909	NA	NA	ro	52745	NA	NA	medium	low	T4
ELTeC-rom	ROM082	ROM082	Bacaloglu, Elena	În luptă	1878	NA	F	NA	1906	1906	NA	NA	NA	NA	ro	69251	NA	NA	medium	low	T4
ELTeC-rom	ROM061	ROM061	Nadejde, Sofia	Robia banului. Roman	1856	NA	F	NA	1906	1906	NA	NA	NA	NA	ro	107186	NA	NA	long	high	T4
ELTeC-rom	ROM009	ROM009	Macedonski, Alexandru	THALASSA	1854	NA	M	NA	1906	1906	2013	NA	NA	NA	ro	28944	NA	NA	short	high	T4
ELTeC-rom	ROM042	ROM042	Sandu-Aldea, C.	Două neamuri	1874	NA	M	NA	1906	1906	NA	1925	NA	NA	ro	46696	NA	NA	short	low	T4
ELTeC-rom	ROM052	ROM052	Zamfirescu, Duiliu	TĂNASE SCATIU. Roman	1858	NA	M	NA	1907	1907	NA	1907	NA	NA	ro	28356	NA	NA	short	high	T4
ELTeC-rom	ROM059	ROM059	Nadejde, Sofia	Părinți și Copii. Roman	1856	NA	F	NA	1907	1907	NA	NA	NA	NA	ro	101267	NA	NA	long	low	T4
ELTeC-rom	ROM035	ROM035	Hodoş, Constanţa	Martirii. Roman	1861	NA	F	NA	1908	1908	NA	1928	NA	NA	ro	35203	NA	NA	short	low	T4
ELTeC-rom	ROM004	ROM004	Dumbravă, Bucura [Fany Seculici/ Fanny Szeculicz]	Haiducul	1868	1926	F	NA	1908	1908	1919	NA	Editura Librăriei Școalelor C. Sfetea	NA	ro	124789	NA	NA	long	low	T4
